Alli,gator,Alligator
Bull,frog,Bullfrog
Octo,pus,Octopus
Cat,cat,Cat
Ele,phant,Elephant
Croco,dile,Crocodile
Cent,taur,Centaur
Peng,guin,Penguin
Cater,pillar,Caterpillar
Scor,pion,Scorpion
Dol,phin,Dolphin
Hedge,hog,Hedgehog
Hippo,potamus,Hippo
Gor,rilla,Gorilla
Goo,oose,Goose
Fla,mingo,Flamingo
Porcu,pine,Porcupine
Tig,ger,Tiger
Lla,bug,Llama,Bug
Im,pala,Impala
Pega,sus,Pegasus
Cerber,rus,Cerberus
Pheoni,nix,Pheonix
Wen,digo,Wendigo
Zom,fish,Zombie,Fish
Dra,gon,Dragon
Skun,unk,Skunk
